UID;is Staff;Passwort;muss PW ändern;Aufbruch;Rückkehr
som;X;123;;;
s01;X;a;;X;
s02;X;a;;X;
s03;X;a;;X;
s04;X;a;;X;
s05;X;a;;X;
s06;X;b;;X;X
s07;X;b;;X;X
s08;X;b;;X;X
s09;X;b;;X;X
s10;X;b;;X;X
s11;X;b;;;
s12;X;b;;;
s13;X;b;;;
s14;X;b;;;
s15;X;b;;;
s16;X;b;X;;
s17;X;b;X;;
s18;X;b;X;;
s19;X;b;X;;
s20;X;b;X;;
201;;a;;X;
202;;a;;X;
203;;a;;X;
204;;a;;X;
205;;a;;X;
206;;b;;X;X
207;;b;;X;X
208;;b;;X;X
209;;b;;X;X
210;;b;;X;X
211;;b;;;
212;;b;;;
213;;b;;;
214;;b;;;
215;;b;;;
216;;b;X;;
217;;b;X;;
218;;b;X;;
219;;b;X;;
220;;b;X;;
